seconds,FHR,UC,FHR_denoised
0,139.5,63.0,139.5
1,137.75,62.5,137.75
2,137.75,59.5,137.75
3,137.75,57.5,137.75
4,137.75,55.5,137.75
5,137.75,49.5,137.75
6,134.25,47.5,134.25
7,134.25,47.0,134.25
8,136.75,45.5,136.75
9,140.5,44.0,140.5
10,140.5,42.0,140.5
11,142.25,40.5,142.25
12,142.25,39.5,142.25
13,143.0,42.0,143.0
14,139.0,43.5,139.0
15,139.0,42.0,139.0
16,136.75,42.5,136.75
17,136.75,41.5,136.75
18,136.0,41.0,136.0
19,136.0,43.0,136.0
20,127.5,44.0,127.5
21,127.5,43.5,127.5
22,124.5,42.0,124.5
23,123.5,42.5,123.5
24,123.5,41.0,123.5
25,123.5,34.5,123.5
26,123.5,36.0,123.5
27,123.0,50.0,123.0
28,123.0,67.0,123.0
29,123.0,54.5,123.0
30,123.0,45.0,123.0
31,0.0,45.0,121.6268181818182
32,0.0,44.0,118.51909090909092
33,0.0,45.0,114.11045454545456
34,0.0,45.5,108.83454545454549
35,0.0,45.0,103.12500000000003
36,0.0,44.5,97.41545454545458
37,0.0,42.0,92.13954545454548
38,0.0,39.5,87.73090909090912
39,0.0,36.5,84.62318181818183
40,83.25,35.5,83.25
41,83.25,34.5,83.25
42,83.25,33.5,83.25
43,83.25,33.0,83.25
44,83.25,33.0,83.25
45,91.25,32.5,91.25
46,91.25,32.5,91.25
47,91.25,33.0,91.25
48,93.5,34.0,93.5
49,93.5,34.0,93.5
50,94.25,34.0,94.25
51,94.25,33.5,94.25
52,94.25,32.5,94.25
53,95.5,32.0,95.5
54,95.5,31.5,95.5
55,99.0,30.5,99.0
56,99.0,30.5,99.0
57,99.0,29.5,99.0
58,99.0,26.0,99.0
59,99.0,26.5,99.0
60,100.0,28.5,100.0
61,100.0,29.5,100.0
62,100.0,33.5,100.0
63,100.0,34.5,100.0
64,101.25,30.0,101.25
65,101.25,28.0,101.25
66,101.25,31.5,101.25
67,106.0,32.5,106.0
68,106.0,33.0,106.0
69,106.0,34.0,106.0
70,106.75,34.5,106.75
71,106.75,34.5,106.75
72,106.75,34.5,106.75
73,106.75,34.5,106.75
74,106.75,34.5,106.75
75,106.75,35.0,106.75
76,106.75,35.0,106.75
77,106.75,34.5,106.75
78,106.75,34.0,106.75
79,0.0,33.5,106.60190664036818
80,0.0,34.0,106.24474030243263
81,0.0,32.5,105.69592373438529
82,0.0,31.5,104.97287968441817
83,0.0,31.5,104.09303090072325
84,0.0,32.5,103.07380013149249
85,0.0,32.5,101.93261012491789
86,0.0,32.5,100.68688362919139
87,0.0,31.5,99.35404339250502
88,0.0,31.5,97.95151216305071
89,0.0,32.0,96.49671268902048
90,0.0,33.0,95.00706771860628
91,0.0,35.5,93.5000000000001
92,0.0,37.0,91.99293228139392
93,0.0,37.5,90.50328731097972
94,0.0,36.5,89.04848783694948
95,0.0,37.0,87.64595660749517
96,0.0,37.5,86.31311637080877
97,0.0,38.0,85.06738987508226
98,0.0,37.5,83.92619986850764
99,0.0,37.0,82.90696909927686
100,0.0,37.0,82.02712031558191
101,0.0,36.0,81.30407626561477
102,0.0,35.0,80.75525969756742
103,0.0,35.0,80.39809335963184
104,80.25,37.5,80.25
105,80.25,39.5,80.25
106,80.25,42.0,80.25
107,80.25,43.5,80.25
108,80.25,44.5,80.25
109,80.25,45.0,80.25
110,85.5,45.0,85.5
111,85.5,44.5,85.5
112,85.5,44.0,85.5
113,77.5,45.0,77.5
114,77.5,44.5,77.5
115,77.5,43.5,77.5
116,80.75,43.0,80.75
117,80.75,41.5,80.75
118,80.75,41.0,80.75
119,85.25,43.0,85.25
120,85.25,48.5,85.25
121,86.0,51.5,86.0
122,86.0,49.0,86.0
123,86.0,46.0,86.0
124,86.0,46.0,86.0
125,86.0,50.0,86.0
126,100.0,55.5,100.0
127,100.0,57.0,100.0
128,100.0,54.0,100.0
129,100.25,50.5,100.25
130,100.25,47.5,100.25
131,100.25,45.5,100.25
132,100.25,45.0,100.25
133,100.25,47.0,100.25
134,100.25,50.5,100.25
135,100.25,53.5,100.25
136,100.25,55.0,100.25
137,100.25,53.5,100.25
138,100.25,51.0,100.25
139,100.25,50.5,100.25
140,100.25,52.0,100.25
141,0.0,55.0,100.26169458896982
142,0.0,56.5,100.29071800208116
143,0.0,55.5,100.33678616024974
144,0.0,54.5,100.39961498439128
145,0.0,53.0,100.47892039542145
146,0.0,53.0,100.574418314256
147,0.0,54.5,100.68582466181064
148,0.0,54.5,100.81285535900106
149,0.0,55.0,100.955226326743
150,0.0,57.0,101.11265348595217
151,0.0,59.5,101.28485275754424
152,0.0,61.5,101.471540062435
153,0.0,62.0,101.6724313215401
154,0.0,63.5,101.88724245577527
155,0.0,64.0,102.11568938605623
156,0.0,63.5,102.35748803329868
157,0.0,67.0,102.61235431841835
158,0.0,69.5,102.88000416233093
159,0.0,72.5,103.16015348595216
160,0.0,72.0,103.45251821019774
161,0.0,66.5,103.75681425598339
162,0.0,68.0,104.07275754422481
163,0.0,70.5,104.40006399583771
164,0.0,72.0,104.7384495317378
165,0.0,73.5,105.08763007284082
166,0.0,74.5,105.44732154006246
167,0.0,73.5,105.81723985431844
168,0.0,73.0,106.19710093652449
169,0.0,71.5,106.58662070759628
170,0.0,70.0,106.98551508844957
171,0.0,72.0,107.39350000000005
172,0.0,74.5,107.8102913631634
173,0.0,76.0,108.23560509885539
174,0.0,76.0,108.66915712799171
175,0.0,77.0,109.11066337148806
176,0.0,78.0,109.55983975026018
177,0.0,77.0,110.01640218522375
178,0.0,77.5,110.48006659729452
179,0.0,78.5,110.95054890738817
180,0.0,79.5,111.42756503642043
181,0.0,80.5,111.91083090530701
182,0.0,81.0,112.4000624349636
183,0.0,80.0,112.89497554630596
184,0.0,76.0,113.39528616024977
185,0.0,78.0,113.90071019771074
186,0.0,80.0,114.41096357960461
187,0.0,79.0,114.92576222684706
188,0.0,78.5,115.44482206035381
189,0.0,77.0,115.96785900104061
190,0.0,76.5,116.49458896982311
191,0.0,76.0,117.02472788761709
192,0.0,75.5,117.55799167533822
193,0.0,74.0,118.0940962539022
194,0.0,71.5,118.63275754422479
195,0.0,72.5,119.17369146722166
196,0.0,75.5,119.71661394380854
197,0.0,77.0,120.26124089490116
198,0.0,76.5,120.8072882414152
199,0.0,75.5,121.3544719042664
200,0.0,76.0,121.90250780437044
201,0.0,76.0,122.45111186264307
202,0.0,76.5,123.0
203,0.0,78.5,123.54888813735693
204,0.0,79.5,124.09749219562954
205,0.0,79.0,124.64552809573361
206,0.0,80.0,125.1927117585848
207,0.0,82.0,125.73875910509885
208,0.0,84.0,126.28338605619146
209,0.0,88.0,126.82630853277836
210,0.0,91.0,127.36724245577521
211,0.0,90.5,127.9059037460978
